struktura,operacja,n,liczba_prob,czas_calkowity_ns,sredni_czas_ns
Tablica_nieposortowana,dodawanie,1000,50,5300,106.00
Tablica_nieposortowana,usuwanie,1000,50,103700,2074.00
Tablica_nieposortowana,rozmiar,1000,10000000,37948800,3.79
Tablica_nieposortowana,peek,1000,50000,83727800,1674.56
Tablica_nieposortowana,zmiana_priorytetu,1000,50,19000,380.00
Tablica_nieposortowana,dodawanie,2000,50,4500,90.00
Tablica_nieposortowana,usuwanie,2000,50,102900,2058.00
Tablica_nieposortowana,rozmiar,2000,10000000,36981900,3.70
Tablica_nieposortowana,peek,2000,25000,69724100,2788.96
Tablica_nieposortowana,zmiana_priorytetu,2000,50,28100,562.00
Tablica_nieposortowana,dodawanie,5000,50,3300,66.00
Tablica_nieposortowana,usuwanie,5000,50,190000,3800.00
Tablica_nieposortowana,rozmiar,5000,10000000,35684100,3.57
Tablica_nieposortowana,peek,5000,10000,40132000,4013.20
Tablica_nieposortowana,zmiana_priorytetu,5000,50,58900,1178.00
Tablica_nieposortowana,dodawanie,10000,50,2900,58.00
Tablica_nieposortowana,usuwanie,10000,50,344800,6896.00
Tablica_nieposortowana,rozmiar,10000,10000000,32317500,3.23
Tablica_nieposortowana,peek,10000,5000,33451700,6690.34
Tablica_nieposortowana,zmiana_priorytetu,10000,50,108100,2162.00
Tablica_nieposortowana,dodawanie,20000,50,4200,84.00
Tablica_nieposortowana,usuwanie,20000,50,682900,13658.00
Tablica_nieposortowana,rozmiar,20000,10000000,32986600,3.30
Tablica_nieposortowana,peek,20000,2500,39989900,15995.96
Tablica_nieposortowana,zmiana_priorytetu,20000,50,247100,4942.00
Tablica_nieposortowana,dodawanie,50000,50,4200,84.00
Tablica_nieposortowana,usuwanie,50000,50,2125400,42508.00
Tablica_nieposortowana,rozmiar,50000,10000000,30967400,3.10
Tablica_nieposortowana,peek,50000,1000,37354100,37354.10
Tablica_nieposortowana,zmiana_priorytetu,50000,50,587100,11742.00
Tablica_nieposortowana,dodawanie,100000,50,12100,242.00
Tablica_nieposortowana,usuwanie,100000,50,4048600,80972.00
Tablica_nieposortowana,rozmiar,100000,10000000,30497400,3.05
Tablica_nieposortowana,peek,100000,500,36613800,73227.60
Tablica_nieposortowana,zmiana_priorytetu,100000,50,1835500,36710.00
Tablica_posortowana,dodawanie,1000,50,2800,56.00
Tablica_posortowana,usuwanie,1000,50,2500,50.00
Tablica_posortowana,rozmiar,1000,10000000,25961500,2.60
Tablica_posortowana,peek,1000,50000,109500,2.19
Tablica_posortowana,zmiana_priorytetu,1000,50,16900,338.00
Tablica_posortowana,dodawanie,2000,50,2900,58.00
